0	3.0009	2.12193
0.1	3.00001	2.1113
0.2	3.00009	2.10783
0.3	2.88389	2.10942
0.4	2.77427	2.13531
0.5	2.74975	2.1609
0.6	2.76884	2.15749
0.7	2.82147	2.15306
0.8	2.90631	2.13701
0.9	2.90033	2.11092
1	2.89585	2.0921
1.1	2.93499	2.07806
1.2	2.92265	2.06305
1.3	2.91117	2.05097
1.4	2.91874	2.04284
1.5	2.9139	2.03498
1.6	2.95015	2.04765
1.7	2.95653	2.05136
1.8	2.95163	2.04552
1.9	2.93866	2.03912
2	2.93006	2.02752
2.1	2.92811	2.02208
2.2	2.94468	2.0291
2.3	2.95106	2.03682
2.4	2.95652	2.03647
2.5	2.94501	2.02536
2.6	2.95014	2.03149
2.7	2.95024	2.02584
2.8	2.94921	2.02894
2.9	2.94994	2.02204
